,sid,structure_type,coordination_number,n_beta_hydrogens,n_meso_hydrogens,metal_radius,metal_charge,total_non_planarity
45,2203019,porphyrin,4,0,2,2.0,2.0,1.9136280795633787
46,2203577,porphyrin,5,8,0,2.1,2.0,0.23059585673179753
47,2203969,porphyrin,5,0,0,2.1,2.0,1.5401932069009203
48,2207819,porphyrin,5,8,0,2.1,2.0,0.5678796135095056
49,2208334,porphyrin,5,8,0,2.1,2.0,0.9543999561318174
50,2208603,porphyrin,5,8,0,2.1,2.0,0.42828818795139656
51,2208647,porphyrin,4,8,0,2.1,2.0,0.11355247747723358
52,2209973,porphyrin,6,4,0,2.05,2.0,2.190792388301559
53,2210417,porphyrin,5,8,0,2.1,2.0,1.0902102585584499
54,2216087,porphyrin,4,8,0,2.0,2.0,1.4448701593757496
55,2219397,porphyrin,5,8,0,2.05,2.0,0.5142894236286688
56,2226609,porphyrin,4,8,0,2.0,2.0,0.032449597537815685
57,2227441,porphyrin,4,8,0,2.0,2.0,0.23408440677777667
58,2229055,porphyrin,4,8,1,2.0,2.0,1.4855252891161075
59,2229315,porphyrin,6,8,0,2.0,3.0,0.03446050097075125
60,2229724,porphyrin,4,8,0,2.1,2.0,0.15134948195365278
61,2231371,porphyrin,4,0,3,2.05,2.0,0.23803985275384956
62,2234250,porphyrin,4,8,0,2.0,2.0,1.7115849618496892
63,2234927,porphyrin,4,8,0,2.0,2.0,0.16580139876525907
64,2235990,porphyrin,6,8,0,2.0,3.0,1.3938243308052778
65,2236590,porphyrin,4,8,2,2.0,2.0,0.24945312348240004
66,2239043,porphyrin,6,8,0,2.05,2.0,0.14315769825477462
67,2239640,porphyrin,4,8,1,2.0,2.0,1.7975641168676058
68,2240396,porphyrin,5,8,0,2.05,3.0,0.6273160418129727
69,2241271,porphyrin,4,0,2,2.0,2.0,1.9344595198766994
70,2241444,porphyrin,6,8,0,2.05,2.0,0.16132425795505453
71,2241451,porphyrin,5,8,0,2.1,2.0,0.6630496035950921
72,2241720,porphyrin,5,8,0,2.1,2.0,0.8541935812936365
73,4022338,porphyrin,4,0,0,2.0,2.0,2.6302627848804097
74,4025259,porphyrin,5,8,0,2.1,2.0,0.7616316562017668
75,4025260,porphyrin,4,8,0,2.0,2.0,0.07977408086225722
76,4028655,porphyrin,5,8,1,2.1,2.0,0.44705555464525115
77,4029666,porphyrin,4,8,0,2.0,2.0,1.2527771278090425
78,4030369,porphyrin,4,8,0,2.0,2.0,1.6012200709688937
79,4032497,porphyrin,4,0,2,2.0,2.0,1.5140365633410877
80,4060552,porphyrin,5,8,0,2.0,3.0,0.17329853299167608
81,4066807,porphyrin,4,6,0,2.0,2.0,2.2453014482191627
82,4067031,porphyrin,5,8,0,2.0,3.0,0.2913360339469136
83,4067387,porphyrin,5,8,0,2.0,3.0,0.24017793561679318
84,4067794,porphyrin,6,8,0,2.05,3.0,0.3985819647272947
85,4067835,porphyrin,5,8,0,2.0,3.0,0.17064427583483688
86,4067836,porphyrin,5,8,0,2.0,3.0,1.0714046140363491
87,4067837,porphyrin,5,8,0,2.0,3.0,1.375241290528242
88,4067838,porphyrin,5,8,0,2.0,3.0,1.01868477959579
89,4067839,porphyrin,5,8,0,2.0,3.0,0.2913360339469136
90,4067841,porphyrin,5,8,0,2.0,3.0,0.8622514175191217
91,4070568,porphyrin,5,8,0,2.0,3.0,1.3148723399344873
92,4071801,porphyrin,5,8,0,2.0,3.0,1.2675754717752896
93,4071802,porphyrin,5,8,0,2.0,3.0,1.2689182334468008
94,4074166,porphyrin,5,8,0,2.0,3.0,0.5578736815425195
95,4074296,porphyrin,6,8,0,2.0,3.0,0.22570612165189466
96,4075886,porphyrin,6,8,0,2.05,2.0,0.41861860553027513
97,4078248,porphyrin,6,8,0,2.0,3.0,0.16333871521658685
98,4078251,porphyrin,6,8,0,2.0,3.0,0.2693194015703676
99,4078822,porphyrin,5,8,0,2.0,3.0,1.3612104859649496
100,4083055,porphyrin,6,8,0,2.0,3.0,0.13288866076371075
101,4083625,porphyrin,5,8,0,2.0,3.0,0.22215808251884417
102,4083629,porphyrin,5,8,0,2.0,3.0,0.29470899119787747
103,4083630,porphyrin,5,8,0,2.0,3.0,0.25913349513192074
104,4083904,porphyrin,5,8,0,2.0,3.0,0.5271350598569376
105,4083905,porphyrin,5,8,0,2.0,3.0,1.1667980177199209
106,4085021,porphyrin,6,8,0,2.0,5.0,0.4252833613010435
107,4086499,porphyrin,5,8,0,2.0,3.0,1.3753819077509435
108,4086593,porphyrin,5,8,0,2.0,3.0,1.781681220411318
109,4086594,porphyrin,5,8,0,2.0,3.0,0.896336427196678
110,4103377,corrole,5,8,0,2.05,3.0,0.28878801799559334
111,4103378,corrole,5,0,0,2.05,3.0,0.22076348835127954
112,4103379,corrole,5,8,0,2.05,3.0,0.21223860524261226
113,4103382,corrole,5,8,0,2.05,3.0,0.4627665389032294
114,4106211,porphyrin,4,8,0,2.0,2.0,1.582106256615636
115,4107359,porphyrin,4,8,0,2.05,2.0,0.400778345092408
116,4107512,porphyrin,5,8,0,2.05,2.0,0.4745338102580207
117,4107513,porphyrin,5,8,0,2.05,2.0,0.49776110701836945
118,4107919,corrole,6,0,0,2.0,3.0,0.19707735212675273
119,4111293,corrole,5,8,0,2.05,3.0,0.39046609929334136
120,4114247,porphyrin,4,0,4,2.1,2.0,0.16947390519214842
121,4114907,corrole,5,6,0,2.0,3.0,0.37324245317662175
122,4115597,porphyrin,6,0,4,2.05,3.0,0.21048532944186138
123,4115598,porphyrin,6,0,4,2.05,3.0,0.18908115824091726
124,4115599,porphyrin,6,0,4,2.05,3.0,0.16725049081193763
125,4116362,porphyrin,6,0,4,2.05,2.0,0.16079025569527744
126,4116363,porphyrin,6,0,4,2.0,2.0,0.17514161317160748
127,4116365,porphyrin,6,8,0,2.05,2.0,1.0130343693858985
128,4116368,porphyrin,6,0,4,2.05,2.0,0.27134414167407306
129,4116369,porphyrin,5,0,4,2.0,2.0,0.18252145457903712
130,4116885,porphyrin,5,8,0,2.1,2.0,0.37386482796902115
131,4117088,porphyrin,5,8,0,2.1,2.0,0.7096144809064566
132,4123222,porphyrin,4,8,0,2.0,2.0,0.5658371347648103
133,4126289,porphyrin,5,8,0,2.05,2.0,1.3914468732698821
134,4126290,porphyrin,5,8,0,2.05,2.0,0.8259380666856769
135,4129874,porphyrin,4,8,0,2.0,2.0,0.5545196069349014
136,4132331,porphyrin,5,8,0,2.1,2.0,0.3071296516784802
137,4132809,porphyrin,5,8,0,2.15,4.0,0.039439021403396834
138,4300609,porphyrin,5,8,0,2.0,2.0,0.5753618032109804
139,4302042,porphyrin,5,0,0,2.1,2.0,2.6207557049519723
140,4302163,porphyrin,4,8,0,2.0,2.0,0.14887306785636265
141,4302942,corrole,4,8,0,2.0,3.0,0.9188483224273799
142,4304890,porphyrin,6,8,0,2.05,2.0,0.43133406257604695
143,4304892,porphyrin,6,8,0,2.05,2.0,0.588661747859906
144,4305490,porphyrin,6,8,0,2.05,2.0,0.0759512442257379
145,4305491,porphyrin,6,8,0,2.05,4.0,0.16235442535024394
146,4308723,porphyrin,4,0,4,2.0,2.0,1.801046642978989
147,4308791,porphyrin,6,8,0,2.05,6.0,0.0
148,4308893,porphyrin,6,8,0,2.05,4.0,0.11300163085993158
149,4309131,porphyrin,5,8,0,2.0,3.0,0.48308380323215255
150,4311126,porphyrin,4,0,0,2.05,2.0,1.5366447115652129
151,4311642,porphyrin,6,8,0,2.05,2.0,0.36303825766456266
152,4311643,porphyrin,6,8,0,2.05,2.0,0.34865991429197124
153,4314004,porphyrin,4,0,0,2.1,2.0,0.19085486226660836
154,4314009,porphyrin,6,0,4,2.05,2.0,0.6982582571889875
155,4314193,porphyrin,6,8,0,2.05,3.0,0.39288945092588085
156,4314949,porphyrin,6,0,0,2.05,2.0,2.6179677353453066
157,4315229,porphyrin,4,7,0,2.0,2.0,0.2238393348017238
158,4317156,porphyrin,5,8,0,2.05,2.0,0.2509596916596079
159,4317157,porphyrin,5,8,0,2.05,3.0,0.17986192481050203
160,4318628,porphyrin,6,0,2,2.05,2.0,0.12958655631257232
161,4318631,porphyrin,6,0,2,2.05,2.0,0.19225298847015554
162,4319661,porphyrin,6,0,2,2.0,3.0,1.0807090362446277
163,4319666,porphyrin,6,0,2,2.0,3.0,0.36664075446730265
164,4320457,porphyrin,4,8,0,2.05,2.0,0.9541592343658175
165,4320458,porphyrin,7,8,0,1.7,5.0,1.802231432728273
166,4320534,porphyrin,4,8,0,2.05,2.0,0.08938483112636814
167,4321107,corrole,5,8,0,2.05,4.0,0.42683686018109196
168,4321108,corrole,5,8,0,2.0,3.0,0.7188097437925712
169,4321733,porphyrin,6,8,0,2.05,5.0,0.12480974141991942
170,4322117,porphyrin,4,8,1,2.1,2.0,0.23474230141235838
171,4322301,porphyrin,6,8,0,2.05,2.0,0.1372653676194402
172,4322302,porphyrin,6,8,0,2.05,2.0,0.2323644494281124
173,4322303,porphyrin,6,8,0,2.05,2.0,0.1571416221461283
174,4322358,porphyrin,6,0,2,2.0,3.0,0.6490773351498872
175,4322359,porphyrin,5,0,2,2.0,3.0,0.8293739779156251
176,4322639,porphyrin,5,0,4,2.0,2.0,0.18257699240169575
177,4322640,porphyrin,4,8,0,2.1,2.0,0.23109440074418533
178,4322641,porphyrin,4,8,0,2.1,2.0,0.19070187397798039
179,4322642,porphyrin,4,8,0,2.1,2.0,0.14641316891149755
180,4322645,porphyrin,4,8,0,2.1,2.0,0.19511286838041664
181,4322648,porphyrin,4,8,0,2.1,2.0,1.4208409661302153
182,4322782,porphyrin,6,8,0,2.1,4.0,1.3801336847638084
183,4323085,porphyrin,5,0,4,2.0,3.0,0.3366893064453013
184,4323617,porphyrin,6,0,4,2.05,3.0,0.1272896195477408
185,4323731,porphyrin,4,6,0,2.0,2.0,2.6475708103449214
186,4323733,porphyrin,5,6,0,2.1,2.0,1.0662513523662676
187,4323736,porphyrin,4,4,0,2.0,2.0,2.843663463638386
188,4323738,porphyrin,5,4,0,2.1,2.0,2.0174394238683684
189,4323740,porphyrin,4,4,0,2.0,2.0,2.2523495167262233
190,4323744,porphyrin,4,2,0,2.0,2.0,3.128059381283272
191,4323747,porphyrin,4,2,0,2.1,2.0,2.772877773099298
192,4324827,corrole,5,8,0,2.0,3.0,0.39531267871128756
193,4326729,porphyrin,5,8,0,2.1,2.0,0.48025940334946393
194,4327183,corrole,4,8,0,2.1,3.0,0.8823740008266033
195,4327184,corrole,4,8,0,2.1,3.0,0.7654011195742285
196,4330777,porphyrin,6,0,0,2.05,2.0,2.5724064951506294
197,4331172,porphyrin,4,8,2,2.0,2.0,0.2282999486016279
