,sid,structure_type,coordination_number,central_metal,metal_charge,number_of_atoms,molar_mass
59,2229315,porphyrin,6,Os,3.0,56,924.5153400000005
60,2229724,porphyrin,4,Zn,2.0,57,778.1377600000004
61,2231371,porphyrin,4,Pt,2.0,47,803.9353200000007
62,2234250,porphyrin,4,Ni,2.0,49,1011.1084400000004
63,2234927,porphyrin,4,Ni,2.0,77,1072.0488400000013
64,2235990,porphyrin,6,Co,3.0,56,786.2060200000001
65,2236590,porphyrin,4,Ni,2.0,33,479.24211999999994
66,2239043,porphyrin,6,Fe,2.0,64,871.8053400000003
67,2239640,porphyrin,4,Ni,2.0,37,535.34844
68,2240396,porphyrin,5,Mn,3.0,50,703.1109690000001
69,2241271,porphyrin,4,Ni,2.0,55,783.709000000001
70,2241444,porphyrin,6,Fe,2.0,69,1020.6512800000005
71,2241451,porphyrin,5,Zn,2.0,93,1262.6311200000005
72,2241720,porphyrin,5,Zn,2.0,91,1244.6573600000008
73,4022338,porphyrin,4,Ni,2.0,89,1312.9027600000002
74,4025259,porphyrin,5,Zn,2.0,95,1777.4150999999997
75,4025260,porphyrin,4,Ni,2.0,85,1443.7526000000003
76,4028655,porphyrin,5,Zn,2.0,55,763.1613400000002
77,4029666,porphyrin,4,Ni,2.0,48,664.38268
78,4030369,porphyrin,4,Ni,2.0,49,671.4133200000001
79,4032497,porphyrin,4,Ni,2.0,47,681.4498800000002
80,4060552,porphyrin,5,Rh,3.0,70,996.0525600000008
81,4066807,porphyrin,4,Ni,2.0,85,1162.219280000001
82,4067031,porphyrin,5,Rh,3.0,63,912.9193600000004
83,4067387,porphyrin,5,Rh,3.0,61,880.8526832000006
84,4067794,porphyrin,6,Ru,3.0,61,892.9610400000005
85,4067835,porphyrin,5,Rh,3.0,65,940.8433400000007
86,4067836,porphyrin,5,Rh,3.0,73,1092.7312984000005
87,4067837,porphyrin,5,Rh,3.0,56,814.7763600000003
88,4067838,porphyrin,5,Rh,3.0,58,842.8295200000005
89,4067839,porphyrin,5,Rh,3.0,63,912.9193600000004
90,4067841,porphyrin,5,Rh,3.0,62,890.8723200000005
91,4070568,porphyrin,5,Ir,3.0,64,1008.2800400000009
92,4071801,porphyrin,5,Rh,3.0,59,854.8832800000006
93,4071802,porphyrin,5,Rh,3.0,58,840.8567000000006
94,4074166,porphyrin,5,Rh,3.0,75,1081.272200000001
95,4074296,porphyrin,6,Rh,3.0,69,989.0616800000008
96,4075886,porphyrin,6,Ru,2.0,72,1024.0972800000004
97,4078248,porphyrin,6,Ir,3.0,58,947.1357400000006
98,4078251,porphyrin,6,Ir,3.0,58,955.6065000000008
99,4078822,porphyrin,5,Rh,3.0,60,883.2807000000005
100,4083055,porphyrin,6,Ir,3.0,69,1077.3023000000007
101,4083625,porphyrin,5,Ir,3.0,61,966.1572400000007
102,4083629,porphyrin,5,Ir,3.0,62,984.1477032000005
103,4083630,porphyrin,5,Ir,3.0,62,1000.6023000000006
104,4083904,porphyrin,5,Rh,3.0,52,758.7131000000003
105,4083905,porphyrin,5,Rh,3.0,53,772.7396800000004
106,4085021,porphyrin,6,Ir,5.0,61,972.1370032000007
