sid,structure,non-planarity (exp.),non-planarity (sim.),Doming,Saddling,Ruffling,WavingX,WavingY,Propellering,Doming2,Saddling2,Ruffling2,WavingX2,WavingY2,Propellering2,Doming (%),Saddling (%),Ruffling (%),WavingX (%),WavingY (%),Propellering (%),Doming2 (%),Saddling2 (%),Ruffling2 (%),WavingX2 (%),WavingY2 (%),Propellering2 (%)
7132377,Corrole,0.6712781515695062,0.6689928666308098,0.7134526130035633,-0.0047302351042258104,-0.32691435239706296,-0.08430531765005779,0.06103895042845741,0.00738779608211391,-0.16689871947959714,-0.03987164713924925,0.12532267435250824,-0.00946384335262678,-0.03689183652151876,-0.004810171555086496,45.124151352033095,0.2991759240676009,20.676541718185952,5.332107338435713,3.860565911879562,0.46726022512387966,10.555940143736278,2.521785199709339,7.926355895616986,0.5985651913419094,2.333319388716235,0.30423171115344055
4084537,Corrole,0.8368466420112805,0.83626630340524,0.6168119361133728,-0.3023190385901809,0.2070475370349262,0.3037694222318564,-0.10373968633113174,-0.00614617189579336,-0.039023368217701936,0.033426272518009455,0.03217981318424485,0.1604124535929114,0.0007301081159330759,-0.0246824042527562,33.70026272598924,16.51756464337443,11.312291455986827,16.596808099793144,5.667942657692447,0.33580350106787915,2.132088703853897,1.82628464180755,1.7581828354614943,8.764327526904463,0.03989033591074863,1.3485528721578903
7120022,Corrole,0.31096806073989885,0.3105704277519987,-0.2374490667266228,-0.14802227060827966,0.019978154882482908,0.03581951172574664,0.008630062958072596,0.0284623400464661,-0.0015724774639466102,-0.0002660847605030045,0.004499700259939525,-0.07655138616836787,0.018610230053727906,-0.011934659303111946,40.12346971112966,25.01238338477768,3.375851938952622,6.052679480311934,1.4582835572987503,4.809485480425404,0.2657127811276496,0.0449622480130745,0.7603465853866977,12.93543607736202,3.144703881854363,2.016684873360145
1548426,Corrole,0.8494090322050089,0.8493203904787943,0.06073799061841096,0.33047294404305627,-0.7695622563481996,0.019236483911219373,-0.021571929724997774,-0.04134231811069842,0.06822701183793091,0.0010302658583060632,-0.05721799058141002,0.009458981422794584,-0.01703069317204824,0.01953175628076564,4.291161911747246,23.348037956176345,54.3698632361187,1.3590648329867794,1.524064959283312,2.9208503444661496,4.820264081349308,0.07278867089811915,4.042472583464648,0.6682805998708361,1.2032248865406945,1.3799259370978565
4339319,Corrole,0.7565906151659845,0.7559678161131941,-0.12200018080721027,0.7202602132216244,0.025106909434429107,-0.16706786772568205,-0.06357902498241208,0.0018656515987649713,0.06436040073023774,0.1518550976165522,-0.0393316861141027,0.04175995452380474,0.06670997211813758,-0.007587231981242993,8.290961028700472,48.94787301816075,1.706230321091963,11.353697767469637,4.320741288121095,0.126787063725228,4.373842487079412,10.319859265929312,2.672926176071966,2.8379478884895772,4.533516060367067,0.5156176347935197
7112063,Corrole,0.7270082874499054,0.7267189049717776,-0.5935056208667286,-0.03383805399619794,0.45967148244625433,0.02962731330735843,-0.09242359442809296,-0.003925259594122535,0.06935902051413094,-0.04729639636541024,-0.020282493263585184,0.0015721909624103168,-0.044548247085208,0.009032980289692776,42.23990806157806,2.4082607468734785,32.71490694343237,2.1085815301745927,6.577804816173524,0.2793614728221656,4.936294698404995,3.3660935362354176,1.4435089080745085,0.11189313019559063,3.1705072286184577,0.6428789274168425
7060415,Corrole,0.5281745704217596,0.5278312237625242,0.46722205916284226,0.06571661905054332,-0.18067561572400567,0.02689622015715654,-0.02745520575737468,-0.002410773080503995,-0.02200841148529915,0.04396082135665029,-0.030321502163376726,0.06741321522971012,0.012846341731060223,-0.004015077545362567,49.132557689920056,6.910687355970851,18.999648964835348,2.8283769197029818,2.8871592304092926,0.25351424474135537,2.314380337483339,4.622871606858552,3.188575806879674,7.089099543526315,1.3509071625099769,0.42222113716226206
4338050,Corrole,0.5632665963082317,0.5631175818151015,-0.01745801476129378,0.5372630666848305,0.08936089281227502,-0.06675229358456748,0.11779376925438159,-0.01663434540112317,0.007497355953065225,0.07535193885882631,-0.0009230323007735077,0.010141465394544465,-0.01117272552678446,0.010870421273139313,1.8162363536866621,55.893910421568236,9.296618449618224,6.944543463730679,12.25461937584771,1.730546299243792,0.7799838999263766,7.839203514686043,0.09602723122956325,1.0550625819187869,1.1623492446861166,1.1308991638578119
7031338,Corrole,0.8679409839376558,0.8677333145345352,0.7829929992303685,0.11678124546459963,0.31458158059865887,0.184484788604898,-0.0845003318940977,-0.009626045482571654,-0.04653111268253441,-0.01530232960174074,0.012305339275354953,0.04621092771248981,-0.019995275193771242,0.0007394497378903843,47.91728014317886,7.1467301238924295,19.25163282461861,11.290023418376903,5.171216191640285,0.5890907307124713,2.8475916949122415,0.9364656070879345,0.7530570386882403,2.827997148189163,1.2236625409699204,0.04525253773293185
4349427,Corrole,0.6025859326087142,0.5975478798575781,-0.6689169180108985,-0.1261447740344332,-0.38966514474928715,0.046561252070674936,-0.1239101059087499,-0.0069156629190154015,0.2545709375338688,-0.05333835565500687,-0.06126492974039532,0.06865671637452657,0.03595948028113463,-0.013756713881768107,36.16429827995019,6.819886164941984,21.06684125424316,2.517285723881784,6.699071154171706,0.3738881315045304,13.76311328132891,2.8836827888965257,3.312224782444132,3.711854047993843,1.944111945540226,0.7437424451030069
