sid,metal,n_electrons,solvent,coordination,metal_nitrogen_bond_length,metal_axial_bond_length,expected_metal_axial_bl,expected_metal_nitrogen_bl,nitrogen_non_planarity,metal_non_planarity,metas_non_planarity,betas_non_planarity
4340787,Co,528,[],5,1.9276950261440966,2.5136224527860187,4.1,3.6,0.17133605151897724,0.16126932283043122,0.1457022673501667,1.1897739122722473
4132331,Zn,486,['C(=O)(C)C'],5,2.05879512159564,2.240929399198913,3.6500000000000004,3.7,0.024932961038906316,0.28834050738236516,0.08011865985761318,0.10012826252708233
2203899,Mn,432,['O'],5,2.003797439275586,2.2834910882773336,3.65,3.65,0.01650311805648636,0.00321588263015858,0.29171788144415267,0.16858910497394775
2011833,Zn,346,[],4,2.0202211240989465,,,3.7,4.660376286987807e-16,1.3315360819965165e-16,0.13236531081091218,0.22894954848630977
2235990,Co,406,[],6,1.9579192576751694,2.1119203214635514,3.7,3.6,0.014001415593999525,0.003143749020384598,0.39869522929725765,0.26624906668203296
4106211,Ni,348,[],4,1.886080918778672,,,3.6,0.00989,2.6020852139652103e-18,0.524149,0.188609
7218169,Pd,430,[],4,2.0188892571794828,,,3.65,2.1078107421395197e-16,5.0335778916764694e-17,0.051565643454418525,0.091211982959709
4305490,Fe,622,[],6,1.9982339689238366,2.259756359842804,4.0,3.65,3.557782832147967e-16,4.0570705123535445e-07,0.05268709762918879,0.043807015580031784
2001529,Zn,834,"['[C](Cl)[C]Cl.ClCl.[Cl].ClCl.[Cl]', '[C]#[C].[C]1[C][C][C]1.ClCl.[C].[C].[C]#[C].Cl[C].[C]Cl']",5,2.0419190789598423,2.158129714063777,3.6500000000000004,3.7,0.09112567785791384,0.18768259223421455,0.11090225726941487,0.8862077737884932
4115598,Ru,396,[],6,2.058830493498652,1.9586218369102373,3.7,3.65,0.02265188268854884,0.08042457530373354,0.06349774355846131,0.07396257020075253
2205785,Fe,458,[],4,2.066514943196779,,,3.65,2.096359044910368e-16,8.806324156098406e-18,0.09213845607384591,0.22702267681131072
1556869,Ru,488,['OC'],5,2.047538359614041,1.856471469065442,3.75,3.65,0.002980223379162878,0.12343334541308996,0.051713714910081615,0.116961432940447
7231910,Zn,398,[],4,2.0455602041518812,,,3.7,8.568121333771009e-17,4.308568270079777e-17,0.09565817351989413,0.13267197156907556
4314004,Zn,766,['ClC(Cl)Cl'],4,2.0566827794289386,,,3.7,2.980315373916435e-16,3.043576588928255e-17,0.012341829078059006,0.08236893626162166
7029526,Pt,590,['OCC'],4,2.0117704763270554,,,3.65,2.012774106402873e-16,1.0063870532014365e-16,0.08601703903849983,0.036547423728195014
4311126,Pt,622,[],4,2.007358569141017,,,3.65,0.09118470493109226,0.00012350862985741504,0.06117220150393431,0.4890025199070068
4341728,Ni,574,[],4,1.9211478484546958,,,3.6,0.1689567814197056,0.004589044657341493,0.10827673149399489,1.1024146834528743
2229055,Ni,332,[],4,1.9310904889999947,,,3.6,0.0006775230476383113,0.005020164977389255,0.5213503593693704,0.20122547535000196
4348562,Fe,866,[],6,1.985748373931878,1.9882502058013483,3.65,3.65,0.12147977528071469,0.009568304085553796,0.12966838350190252,0.8689653891754876
7713179,Fe,706,[],6,1.9805096132661508,1.960691301694157,3.65,3.65,0.11044348128364136,0.0021612503979713572,0.03817348424751739,1.0274843648200362
2231371,Pt,406,[],4,2.0218919040137466,,,3.65,0.010815097306887551,0.010030666946155379,0.04606749403034091,0.06191219183894727
4320534,Fe,410,['c1ccccc1C'],4,2.0015969566173997,,,3.65,8.195720852943719e-17,1.4164467039673357e-17,0.03420982875020326,0.042605887041689196
7034891,Ni,480,[],6,2.051756562052278,2.2381281852637485,3.6,3.6,3.233345434649332e-16,1.1398068252301736e-16,0.07317514605129248,0.1390507571028365
1555361,Ru,462,['O1CCOCC1'],6,2.0369202119882743,2.309456738997507,3.8499999999999996,3.65,2.6270281430521963e-17,2.6270281430521963e-17,0.09284138113835937,0.06800064532141276
7236605,Ni,690,[],6,2.044298717573072,2.191450532334062,3.6,3.6,0.01270753924211516,0.02376904778536001,0.06752630419608353,0.10635428021606597
4319666,Rh,626,[],6,2.0454991973841983,2.373683849391199,3.8499999999999996,3.6,0.005349514866190314,0.010869065620708433,0.12315659973051446,0.07521403477834987
4078251,Ir,480,['ClCCl'],6,2.035226998465249,2.264154571086621,3.7,3.6,0.005841439140263726,0.036342697638492884,0.08792473124605513,0.05811225411578145
7107530,Pb,788,[],4,2.3991726085750686,,,3.9,0.01744534241093152,1.2255797315449237,0.12120285162386457,0.30890752412088557
